Dia;Espacio;Horario;Actividad;Profesor
SABADO;GIMNASIO 1;10:00 A 11:00;ESCUELITA U12;FERNANDO Y ANDRES
SABADO;GIMNASIO 1;11:00 A 12:00;ESCUELITA U9;FERNANDO Y ANDRES
SABADO;GIMNASIO 1;12:00 A 13:00;BASQUET FEMENINO U9 U11;FERNANDO
SABADO;GIMNASIO 1;13:00 A 14:00;BASQUET FEMENINO U13 U15 U17;FERNANDO
SABADO;GIMNASIO 2;14:00 A 17:00;PATIN ARTISTICO; 
